User ID,Age,Gender,Location,Device Type,OS,Internet Speed,Time of Day,UI Theme,Font Size,Clicks,Time Spent (s),Scroll Depth (%),Navigation Pattern,Search Query,Session Duration (s),UI Components Used,Customization Choices,Feedback,Layout Preference,Navigation Style,Color Palette,Interaction Level,Component Density,Button Style,Icon Style,Loading Style,Error Style,Animation Level,Learning Style
e98f786e-a264-42a2-9eaa-3fe3788f71d9,38,Other,Guernsey,Tablet,Windows,Slow,Day,System Default,Large,30,174,65,Cart → Checkout,Change language,892,Sidebar,Theme: Minimalist,Bad,Card-based,Tab Bar,Blue Dominant,Moderate,Compact,Floating,Duotone,Progress Bar,Modal,,Watch videos
1e793d5b-fe1d-4854-b632-c16a2d47c089,56,M,France,Desktop,iOS,Fast,Night,Light,Medium,34,366,0,Cart → Checkout,Dark mode,487,"Chatbox, Button",Custom Font,Bad,Card-based,Tab Bar,Monochrome,Moderate,Compact,Square,Hand-drawn,Spinner,Illustration,,Group discussions
73283fb0-26f2-4581-b734-edc97d1ceb63,60,F,Falkland Islands (Malvinas),Desktop,Windows,Fast,Day,Dark,Medium,33,566,62,Home → Profile,Change language,725,"Slider, Button",High Contrast Mode,Good,Single-column,Hamburger Menu,Blue Dominant,Custom,Spacious,Pill-shaped,Outlined,Progress Bar,Modal,,Live workshops or webinars
4f00ad73-c9fb-47aa-a8b4-c92abdbe1d30,59,M,Mexico,Mobile,Android,Medium,Night,System Default,Medium,35,198,62,Dashboard → Settings,Dark mode,731,Button,Theme: Minimalist,Bad,Grid,Gesture-based,Pastel,High,Compact,Rounded,Hand-drawn,Skeleton,Text-only,Subtle,Interactive tutorials
fbb7eb0d-042b-4e85-99ac-54853889097a,28,M,Oman,Desktop,Linux,Slow,Night,System Default,Medium,13,214,34,Feed → Post → Comments,Enable notifications,676,"Sidebar, Chatbox",Custom Font,Bad,Card-based,Hamburger Menu,Pastel,High,Spacious,Floating,Filled,Progress Bar,Toast,Moderate,One-on-one tutoring
15a4416e-02e5-40c3-a1cc-7cb20329ef7b,43,Other,Jamaica,Desktop,iOS,Slow,Night,System Default,Large,38,319,47,Home → Profile,Reduce animations,369,"Dropdown, Slider",Background: Blue,Bad,List,Tab Bar,High Contrast,Moderate,Standard,Square,Outlined,Skeleton,Modal,Expressive,Hands-on projects
0f12c41d-9dae-40f8-82e9-9db1a4db7580,30,Other,Albania,Mobile,Windows,Fast,Night,System Default,Large,14,573,5,Cart → Checkout,Increase font size,543,"Slider, Sidebar",Background: Blue,Bad,Single-column,Gesture-based,Pastel,Custom,Compact,Floating,Outlined,Progress Bar,Illustration,Subtle,Flashcards and quizzes
f1af3b87-1bc5-4afe-8b4f-da3bb16514fb,40,Other,Namibia,Desktop,iOS,Slow,Day,Light,Small,24,297,4,Cart → Checkout,Increase font size,393,Chatbox,High Contrast Mode,Good,List,Top Menu,High Contrast,High,Standard,Pill-shaped,Duotone,,Toast,Expressive,One-on-one tutoring
61d42025-752a-4693-81db-c104dccb17e4,42,M,Serbia,Mobile,Windows,Fast,Night,System Default,Large,29,541,6,Cart → Checkout,Change language,296,"Slider, Dropdown, Button",Background: Blue,Good,List,Tab Bar,High Contrast,High,Compact,Pill-shaped,Hand-drawn,Skeleton,Text-only,Moderate,Group discussions
b5bc0f1b-a69b-4592-9bc0-a73d939feb1f,23,Other,Niger,Mobile,iOS,Medium,Day,System Default,Large,7,401,42,Cart → Checkout,Reduce animations,610,"Dropdown, Sidebar",Theme: Minimalist,Good,Grid,Tab Bar,Blue Dominant,Moderate,Compact,Floating,Hand-drawn,Progress Bar,Modal,Expressive,Hands-on projects
