User ID,Age,Gender,Location,Device Type,OS,Internet Speed,Time of Day,UI Theme,Font Size,Clicks,Time Spent (s),Scroll Depth (%),Navigation Pattern,Search Query,Session Duration (s),UI Components Used,Customization Choices,Feedback,Layout Preference,Navigation Style,Color Palette,Interaction Level,Component Density,Button Style,Icon Style,Loading Style,Error Style,Animation Level,Learning Style
7b419d05-a2fe-4f7c-9b6e-b889a1a95582,50,,Argentina,,iOS,,Day,,Medium,24,38,92,,Reduce animations,750,,High Contrast Mode,BAD,Card-based,Hamburger Menu,Monochrome,,Spacious,Pill-shaped,filled,,Illustration,None,Flashcards and quizzes
592702e0-4ea5-4e13-8556-fb4adc4479d5,62,F,Haiti,Tablet,ios,SLOW,Night,Light,Small,28,231,52,,Reduce animations,283,button,Theme: Minimalist,Bad,Single-column,Top Menu,High Contrast,Minimal,Standard,Rounded,Filled,,text only,Subtle,Hands-on projects
8f3ddbc1-0bf3-43af-a2c2-d77427e94f84,37,Other,Christmas Island,Tablet,macOS,,,light,,24,331,32,Dashboard → Settings,Change language,122,,Custom Font,,List,Top Menu,Monochrome,Moderate,Compact,,Outlined,Spinner,Modal,Moderate,Live workshops or webinars
43bc9c31-7432-4417-baa3-6b84fac5a7ab,50,f,Malta,DESKTOP,macOS,Fast,day,light,small,50,320,37,,Increase font size,139,Slider,Custom Font,BAD,Grid,Hamburger Menu,BLUE DOMINANT,,Spacious,Square,Outlined,Skeleton,text only,Subtle,Flashcards and quizzes
95bee4c3-e214-4fba-9510-3d627b625171,72,,Morocco,Desktop,Unknown,Fast,day,Light,Small,7,28,85,,Change language,342,,Theme: Minimalist,,Card-based,top menu,Monochrome,High,Spacious,Rounded,filled,Skeleton,Illustration,Expressive,Reading PDF
6937606a-fb80-41cf-bd49-4716a3c9b2f0,47,f,Ecuador,Desktop,Linux,SLOW,Day,light,Large,47,301,16,Feed → Post → Comments,Enable notifications,672,,Background: Blue,,List,Hamburger Menu,Pastel,Minimal,Standard,,Filled,Progress Bar,Illustration,,Live workshops or webinars
c998c802-7997-465f-aa19-86d603ee7819,54,m,Cote d'Ivoire,Mobile,Unknown,,NIGHT,Dark,Large,41,384,18,Feed → Post → Comments,Dark mode,543,"button, Chatbox",Theme: Minimalist,BAD,Single-column,Gesture-based,High Contrast,Minimal,Compact,Square,Filled,None,Toast,,Flashcards and quizzes
76857159-f319-4193-9907-5167db74e859,24,,Morocco,Mobile,iOS,SLOW,day,,Medium,46,442,84,,Change language,847,"Menu, Sidebar",  Theme:Minimalist  ,Good,grid,Hamburger Menu,High Contrast,High,Compact,Square,Hand-drawn,Spinner,Illustration,Moderate,Note-taking and summarizing
f67579d0-6e89-4570-8578-eaeb1e5e169e,37,Female,Ireland,mobile,Unknown,Fast,day,light,LARGE,38,1679,6,Dashboard → Settings,Reduce animations,479,"button, Slider",High Contrast Mode,Bad,Single-column,Hamburger Menu,BLUE DOMINANT,Moderate,Compact,Rounded,Outlined,None,Modal,Expressive,
36889d52-5509-4c50-9a8b-21c7fb8375b4,55,,Botswana,,iOS,,day,System Default,small,39,312,19,Home → Profile,Dark mode,890,,Background: Blue,BAD,List,Tab Bar,Blue Dominant,Custom,Compact,Rounded,Filled,None,Modal,None,Group discussions
